1: 1 2 3
2: 0 2 4
3: 10 10 100
4: 40 5 400
5: 48 7 1
6: 400 2 1000
7: 1 4 5
8: 2 5 6 
9: 3 5 8
10: 6 8 0
11: 1 4 23
12: 5 7 89
13: 432 5 6
14: 1000 4 4000
15: 4 0 0
16: 6 2 75
17: 654 1 100
18: 4 5 2000
19: 2 4 6
20: 21 3 47
21: 33 1 98
22: 1 10 20
23: 1 15 25 
24: 1 20 30
25: 1 25 5
26: 1 30 10
27: 2 35 15
28: 2 40 1
29: 2 45 2
30: 2 50 3
31: 2 55 4
32: 1 90 89
33: 1 91 88
34: 1 92 87
35: 1 93 86
36: 1 94 85
37: 1 95 84
38: 1 96 83
39: 1 97 82
40: 1 98 81
41: 1 99 80
42: 1 100 79
43: 2 1 900
44: 3 4 5
45: 3 23 26
46: 4 23 65
47: 5 1 688
48: 6 44 56
49: 100 78 1
50: 12 78 90
